epoch,loss,mae,val_lose,val_mae
1,1272.087533,24.924362,4008.424548,59.244263
2,294.3504997,13.485965,791.2977883,23.26494
3,215.1830062,11.64739,397.8826821,16.493761
4,184.9444966,10.8001795,369.3812286,15.481472
5,153.6602456,9.776433,839.1098979,23.509043
6,136.4149982,9.076954,297.4068724,14.090326
7,105.28725,8.005254,292.7866659,14.230282
8,94.98764923,7.8045354,386.5823929,16.012505
9,85.17858138,7.2987175,225.9096371,11.520218
10,69.98636896,6.629106,237.6809512,11.563981
11,67.31341732,6.4647126,301.160342,13.523097
12,67.91817861,6.5713863,227.3073646,11.999153
13,69.83072888,6.678733,227.4250914,11.868568
14,64.49734087,6.3815007,212.5772524,10.949995
15,59.25632215,6.078036,1184.214642,31.771338
16,58.07986994,6.134827,292.8754434,13.962981
17,52.52966384,5.7564178,350.1554279,14.812286
18,49.36093823,5.519114,271.2146915,12.358556
19,46.34735548,5.38252,333.5200825,15.456748
20,45.65854042,5.368634,205.0659549,11.030473
21,42.56847589,5.2173333,250.1279587,12.790741
22,42.4167743,5.1336546,232.9202029,12.1783
23,39.83950093,4.970333,298.730455,13.973645
24,40.09051759,5.02139,211.012337,11.2863865
25,39.27296351,4.957689,368.2834352,16.871916
26,37.31172621,4.799625,212.4857882,10.76712
27,34.86670812,4.687825,233.9497551,12.345596
28,33.82598109,4.5976267,174.7222358,10.068122
29,31.71308747,4.4683576,222.8853677,11.308789
30,30.58445596,4.4043274,406.5180238,17.836979
31,28.88118892,4.309871,192.5574245,10.775304
32,29.71885694,4.3673687,175.5790111,10.085372
33,27.44801625,4.1810384,243.2981047,11.807195
34,28.13935645,4.2295184,172.1987734,9.691551
35,27.22719877,4.152201,321.823446,14.061216
36,26.73858152,4.1054115,652.5141089,22.221302
37,25.71769511,4.023327,176.5066801,10.107016
38,22.94196811,3.8162367,483.6194375,19.66353
39,23.85140968,3.8930087,630.8899483,22.758888
40,24.00720663,3.9390578,197.6190641,11.197669
41,23.00229945,3.8287866,292.0554727,13.563352
42,21.84936516,3.70977,190.9283813,10.753356
43,22.73876062,3.8226688,177.8793486,9.758988
44,22.38182038,3.7557964,154.387583,9.115239
45,22.22196136,3.7430706,423.0004235,18.280336
46,20.87187011,3.6408093,236.6863931,11.589706
47,20.58009344,3.6338832,186.4997105,10.896399
48,19.99728776,3.5623722,222.0284861,12.153115
49,18.96791632,3.4679546,224.6721139,11.333172
50,19.51437257,3.5260239,160.4885633,9.079293
51,18.95371819,3.4374502,160.1080688,9.417412
52,18.70499234,3.4424438,150.4754601,8.950387
53,19.42325789,3.5094717,156.9133919,9.658973
54,18.16321468,3.393445,178.0432756,9.830941
55,17.47547356,3.3460653,242.4182709,11.972102
56,17.14939156,3.2939856,307.8091838,15.099804
57,14.84470808,3.0616179,142.4016249,8.688285
58,16.29547501,3.2379117,163.5894093,9.546428
59,15.66867841,3.1642516,162.3409765,9.964225
60,16.24477677,3.2222207,151.3728073,9.134433
61,15.67740273,3.1421032,198.1355271,10.495819
62,15.14423771,3.0964642,185.0042651,11.111787
63,14.68706463,3.0409074,184.9959122,10.209364
64,13.79260341,2.948876,148.3460467,9.102393
65,14.214133,3.023497,237.7945813,11.915627
66,14.10024589,2.9825883,168.9207801,9.548992
67,14.46840052,3.056314,150.2362268,8.930137
68,12.80661471,2.855201,164.035874,9.8414755
69,14.22954616,2.984885,166.3114929,9.448196
70,12.41528419,2.784998,172.4220875,10.487016
71,13.49909706,2.9213388,185.6006801,10.34597
72,13.36351871,2.9373722,153.5707213,9.450165
73,12.55797526,2.835537,175.6183006,9.898233
74,12.03743834,2.7621608,158.8732906,9.839824
75,11.68306012,2.74019,156.8957244,9.708374
76,12.07061976,2.7718315,223.6759077,12.630983
77,12.18550865,2.758732,162.8267557,9.362296
78,11.68190584,2.7372684,144.4994422,8.920244
79,11.91376032,2.7515163,162.9358475,9.201055
80,11.76124569,2.7240782,141.2284619,8.924098
81,10.74416305,2.6259336,144.7595492,8.994875
82,10.50613418,2.5800521,184.9413772,9.976716
83,11.36107477,2.6922567,144.4487599,9.158457
84,10.4327772,2.5854855,170.5004301,10.700274
85,9.763995977,2.4983232,150.5227446,9.655859
86,10.69744821,2.6289532,184.7840563,10.022539
87,9.610826322,2.476906,146.0466748,8.899901
88,10.17902314,2.5334053,174.1171617,10.771727
89,9.262367054,2.421774,175.0144344,9.9436245
90,9.499109875,2.4657085,167.3501493,9.587881
91,9.45892384,2.4836771,160.0654453,10.090238
92,9.68362757,2.4879923,151.6521889,9.261974
93,9.267153881,2.4629853,156.6667816,9.7578125
94,9.336100243,2.4489794,157.2200084,9.767765
95,9.077503811,2.4184172,164.0197272,9.3329735
96,8.085959711,2.259443,152.584917,9.156995
97,8.338897817,2.2841003,141.156721,8.731985
98,9.121885562,2.3982549,145.6502205,9.291995
99,7.793540572,2.217426,157.4914509,9.830932
100,8.484546532,2.3300533,151.4041175,9.173848
101,8.244348558,2.3012226,167.0393372,10.312181
102,8.11519420294114,2.2630072,144.34098326129677,8.832601
