epoch,loss,mae,val_lose,val_mae
1,725.8640809870091,18.13222,994.8522550621811,27.344091
2,168.12923747990408,10.177358,412.52551248770993,16.0711
3,129.24769976349916,8.927212,8437.575786564626,82.09367
4,111.30667482752378,8.287839,550.4359743286964,19.4673
5,94.13135640150836,7.6800547,563.891768059763,19.999693
6,83.66953457942626,7.1795945,284.3458528064546,13.647539
7,72.99495241593341,6.711443,273.09046344367823,13.611606
8,65.79495429992676,6.41057,287.46066180378403,13.064841
9,60.00255312238421,6.1012354,225.55703569269505,12.167596
10,58.24767364450052,6.029895,205.4367810722922,11.454173
11,53.4339974980776,5.7300944,238.70524752869898,11.75959
12,49.86571302868071,5.581024,190.372032944037,11.138753
13,43.98867072540076,5.2454314,1859.8998176419004,29.158678
14,42.36433066802771,5.1640015,225.61640068625107,12.506592
15,38.41754351505617,4.876431,185.9042812010058,10.542991
16,37.62512783128388,4.857854,176.1728538461283,10.523339
17,35.90514330961266,4.7289352,193.92009979040444,10.911078
18,35.12612233843122,4.6128345,183.64320383915285,10.763212
19,30.900301485645528,4.3843045,257.58872082768653,12.85357
20,29.331774173139713,4.2903843,165.760565517711,10.158855
21,26.963937941051665,4.0938478,164.51111088966837,10.253794
22,27.402825978337503,4.139672,246.00513691804846,13.046585
23,26.664086932227725,4.0638175,248.95617322856876,12.532
24,26.046260314733804,4.033242,177.96286342906302,10.794484
25,25.14711217166615,3.9414055,175.06965024779444,10.478167
26,23.339997985736044,3.8195086,183.91419412003083,10.771959
27,22.8579098578213,3.7751324,147.50035095214844,9.740379
28,21.90313588356485,3.681747,203.10114708725288,11.184901
29,21.03841092635174,3.6151807,176.51926697192548,10.613779
30,20.229737203948353,3.5625813,162.40778937307346,10.282793
31,18.581669197601524,3.4103963,160.309639236554,10.305682
32,18.986563689043734,3.4177675,156.7397610411352,10.266594
33,20.118896886604983,3.5271382,151.29090943628427,9.997285
34,18.0959729629309,3.3523817,195.49814756224757,11.064286
35,18.62599267116209,3.4238868,209.4063531784784,11.471404
36,17.258200272410907,3.2640467,160.22072357385338,10.427963
37,16.043356318052123,3.1914296,170.22658263744952,10.565766
38,15.618563272515122,3.1100073,192.48107692173548,11.091985
39,14.710999281227995,3.0060382,161.69058611603822,10.299036
40,14.670866249369926,3.0148456,184.51008190751887,10.712845
41,13.502845553313794,2.9015882,184.79914077447384,10.747379
42,14.240943201545145,2.978208,152.77725717972737,10.145197
43,13.911147555526423,2.9274058,170.97411258204454,10.564951
44,12.68286925919202,2.7978718,163.99547478293076,10.422701
45,12.497916215131072,2.7705777,167.79784294699326,10.379642
46,12.035186715677481,2.7281742,160.40421954304182,10.049193
47,11.490992461742998,2.6606293,202.8181618411525,11.145895
48,11.475159891608621,2.6774793,174.75328188526387,10.417884
49,11.334874821357987,2.66256,156.37601123212957,10.225865
50,11.123197542566832,2.636419,161.49438424661858,10.292127
51,10.84496031488691,2.5866868,182.913539030114,10.694832
52,10.448237146650042,2.5183392,160.29848475034544,10.369187
53,9.710588967719046,2.463469,168.7097064167464,10.45433
54,10.325595751911605,2.5169399,164.3782209539089,10.484808
55,9.250814626006042,2.389576,178.12432228140278,10.678496
56,9.567932511673492,2.446907,193.88032604399183,11.033449
57,9.590175528104613,2.4367166,158.84355433457563,10.367986
58,9.14492237811186,2.367216,169.73874223151174,10.442334
59,8.700816519406377,2.3364568,158.27311602741682,10.16722
60,9.323775622309471,2.3888686,168.1289640673164,10.537408
61,8.417246432531448,2.2951238,155.981374208619,10.129853
62,8.720623502925951,2.3230786,185.3566984838369,10.808913
63,8.077359755833944,2.238145,194.24089527778884,11.02296
64,8.169961501140984,2.2441132,162.80023494383104,10.245204
65,8.320294599143827,2.2690463,171.88365225240486,10.469268
66,8.132618480799149,2.2330701,168.65136438486527,10.626262
67,8.076171547377191,2.2212853,175.29450438622715,10.611601
68,7.535239779219335,2.165983,158.82952330712558,10.096221
69,7.9142305526603645,2.223216,162.71309490593111,10.16422
70,7.554655391342786,2.1462674,155.2241457984561,10.215964
71,7.5359177767824965,2.1600606,205.68782821966678,11.317878
72,7.161706977961015,2.0982237,166.92284284319197,10.55143
73,7.636085150193195,2.1665154,167.79140093537416,10.401522
74,6.9188194307340245,2.0632522,171.1075804833652,10.520576
75,7.501650824838755,2.1494722,159.17293221609933,10.198779
76,7.447421481009243,2.1276524,165.2523642818944,10.289885
77,7.159182971837569,2.1069143,157.46411682959317,10.129002
78,6.506870178949265,2.0011845,157.35670346629863,10.203534
79,6.837011499469783,2.07115,170.61931916321217,10.492147
80,6.9316912913809015,2.0661273,165.4410589308966,10.404473
81,6.799908054118254,2.0498486,155.40059521733497,10.238967
82,6.913610288075039,2.0612502,166.53257440060986,10.522412
83,6.7718292434199325,2.058376,152.4393850313563,9.982616
84,6.644051362057121,2.0349395,158.02606502195604,10.228044
85,6.671669296666878,2.0278049,154.96779554717395,10.241016
86,6.777246734722942,2.0246623,155.7047222941911,10.171156
87,6.310233349702796,1.9764857,158.07356293347416,10.122789
88,6.485210632791325,2.0104043,160.6295989159824,10.216255
89,6.09013879218069,1.9202474,187.99060847483526,10.945358
90,6.28642827799531,1.977242,171.36288400247795,10.534168
91,6.192987920475655,1.9494967,160.75751417510364,10.311805
92,6.117327862045392,1.9562461,166.46810695103235,10.379351
93,6.137980564921891,1.9342959,177.53761685948794,10.593911
94,6.192412944067092,1.9593923,161.2106184148464,10.355752
95,6.192348415348806,1.948567,157.79204481475207,10.305776
96,5.737964742037715,1.8898214,164.98486452686544,10.330735
97,5.933859460207881,1.9091514,172.4855748390665,10.649417
98,6.361625904939612,1.973172,153.71153840564546,10.196524
99,6.218912243032131,1.9637985,161.17843513748272,10.156741
100,6.190848434863447,1.9484591,156.64517326095478,10.324336
101,5.944944081663275,1.9294606,169.69778203639854,10.434796
102,6.010740846192756,1.9292866,163.0088152204241,10.388904
103,5.646022029474479,1.8663442,160.57244499362244,10.290855
104,5.721399725699912,1.8895986,158.53293002381616,10.41267
105,5.609619259023342,1.8685081,165.6954643612816,10.383233
106,5.541053288647918,1.8428614,166.74112218740035,10.649488
107,5.589321770635592,1.8641407,157.22113877899793,10.225921
108,5.459007478895641,1.8306127,159.99928345972177,10.197775
109,5.660047990124242,1.8745078,154.28628685360863,10.023592
110,5.557628839194369,1.8392516,157.39965706131085,10.237977
111,5.449742824852872,1.8450855,159.25875812971674,10.184791
112,5.321364274641284,1.8157023,161.7626892920254,10.343085
113,5.401231254039168,1.8416177,172.32406418988495,10.575432
114,5.544771162020106,1.8519173,151.46000609105948,9.97699
115,5.556942041228417,1.8558627,153.8726034359056,10.1765
116,5.285849128450666,1.8092128,164.96432422456286,10.429055
117,5.231886454990932,1.79967,176.81102114307637,10.791697
118,5.275496659635687,1.8151175,159.3380165359601,10.09567
119,5.393415515925608,1.8344032,171.17924084306574,10.625578
120,5.373051044892292,1.8204495,158.70712664338197,10.185919
121,5.201365203273539,1.7783699,169.4806574607382,10.552834
122,5.236376507752607,1.8028072,150.31332200238495,10.144214
123,5.445997490363867,1.8259594,156.1000481430365,10.209323
124,5.0831196137837,1.7657338,155.63066412478076,10.2301855
125,5.220252989100761,1.771953,150.4820099914966,10.181879
126,4.869389824315804,1.7307717,153.19763432716837,10.144128
127,5.081456842876616,1.7669431,159.92082172834955,10.4293585
128,5.244939656484695,1.7924346,170.71454283007148,10.5611925
129,5.259991136537928,1.802338,153.2745398696588,10.179651
130,5.037658199972036,1.7551571,157.981025228695,10.377216
131,5.154162668046498,1.7876357,157.13068737626887,10.230971
132,5.238354976485375,1.7936628,156.4637158452248,10.256133
133,4.691401794654172,1.7040535,154.90646808650217,10.220713
134,4.828528507226179,1.7330521,150.860841296968,10.112329
135,4.968789276622591,1.7452976,148.4730651232661,10.050876
136,4.994936333221643,1.7492065,160.30024594676738,10.286386
137,4.904624359948294,1.7352592,148.9861482373711,10.111867
138,4.834024400127177,1.7270155,151.31861586797805,10.100743
139,5.134499678806383,1.7581521,158.51336970945604,10.366883
140,5.083154080676383,1.7597127,150.68566946431892,10.141757
141,4.587568692609566,1.6897575,165.97273233634274,10.372845
142,5.277014217409147,1.8088595,169.3750082003016,10.508423
143,4.471173602707532,1.6497523,162.92601926634913,10.428265
144,4.739012376791766,1.7113658,174.36582957157472,10.616495
145,4.963003019897306,1.7548616,159.56260432029256,10.280392
146,4.680955079137062,1.7126678,164.0887279899753,10.309619
147,4.790474404283121,1.7104616,149.9811973312274,10.037876
148,4.769095166199873,1.7148279,159.61577185805962,10.241407
149,4.674381599945276,1.6999122,160.39770331350314,10.356724
150,4.5078263736906505,1.6759739,156.08000971995244,10.2471695
151,4.608905391628239,1.6756033,158.05522913511106,10.347474
